review_text,cleaned_text,rating,date,period,overall_sentiment,price_sentiment,quality_sentiment,features_sentiment,delivery_sentiment,service_sentiment
Great tablet. My kids love it. Great for the prices.,great tablet. my kids love it. great for the prices.,4.0,2020-02-05,pre-inflation,0.9246,0.6249,,,,
"Still needs work as it does not always understand questions and needs more info installed so as to be more user friendly. I got it on sale so decided to try it. Works very well with my wemo light switches and like telling it to play my music and set alarms. For the price I got it for it will pass until they update it some more, It's a work in progress!","still needs work as it does not always understand questions and needs more info installed so as to be more user friendly. i got it on sale so decided to try it. works very well with my wemo light switches and like telling it to play my music and set alarms. for the price i got it for it will pass until they update it some more, its a work in progress!",4.0,2021-04-17,pre-inflation,0.8948,0.4753,,0.6361,,
This is a great tablet for the money. Perfect for someone who does not want to shell out hundreds for an iPad.,this is a great tablet for the money. perfect for someone who does not want to shell out hundreds for an ipad.,5.0,2021-06-12,pre-inflation,0.8214,0.6249,,,,
"So far the only complaint I have is not with the product but with the policy regarding the product. I had one for just about 2 weeks when I noticed a definite issue staying connected. My wife, who has had her Kindle Fire for months, said her started acting up if she had too many apps on it. I started removing them, even to the point of restoring to factory settings several times. After trying for about a week, it simply would not stay connected to the internet. It did stay connected to our wifi. I contacted Best Buy, but since it had been over 2 weeks, their policy is they can't help, unless you've purchased the extended warranty from them. They said that's Amazon's policy. I contacted Amazon, and after a fairly brief support chat, a new Kindle was on the way to its new home. I've been pleased with it since its arrival. It does most of what I need (email, facebook, minimal web use), saving ""wear & tear"" on my laptop.","so far the only complaint i have is not with the product but with the policy regarding the product. i had one for just about 2 weeks when i noticed a definite issue staying connected. my wife, who has had her kindle fire for months, said her started acting up if she had too many apps on it. i started removing them, even to the point of restoring to factory settings several times. after trying for about a week, it simply would not stay connected to the internet. it did stay connected to our wifi. i contacted best buy, but since it had been over 2 weeks, their policy is they cant help, unless youve purchased the extended warranty from them. they said thats amazons policy. i contacted amazon, and after a fairly brief support chat, a new kindle was on the way to its new home. ive been pleased with it since its arrival. it does most of what i need email, facebook, minimal web use, saving wear tear on my laptop.",4.0,2021-03-10,pre-inflation,0.9321,,,,,0.2264
I like this product and most anything from best buy.The product is easy to operate.,i like this product and most anything from best buy.the product is easy to operate.,5.0,2020-09-21,pre-inflation,0.8709,,,,,
I got 2 of these for my 8 and 9 year old daughters and I love them and so do they,i got 2 of these for my 8 and 9 year old daughters and i love them and so do they,5.0,2020-09-01,pre-inflation,0.6369,,,,,
This tablet is very easy to use i bought it for my nephew and he's only 4 years old and he love it,this tablet is very easy to use i bought it for my nephew and hes only 4 years old and he love it,4.0,2020-08-20,pre-inflation,0.8122,,,,,
"This is the best device I have found for my e-books. I know it can be used for a lot more, but it is my library in my hand.","this is the best device i have found for my ebooks. i know it can be used for a lot more, but it is my library in my hand.",4.0,2020-01-14,pre-inflation,0.7845,,,,,
It's a 16 GB mini-computer and camera perfect for trips.,its a 16 gb minicomputer and camera perfect for trips.,5.0,2020-11-22,pre-inflation,0.5719,,,0.5719,,
My grandson loved this. He is 4 and it was perfect.,my grandson loved this. he is 4 and it was perfect.,5.0,2020-01-02,pre-inflation,0.8225,,,,,
"Got the Echo home and immediately set it up and started to use it. Linked my smart devices and spent a few minutes testing the lights, thermostat, etc. All worked extremely smooth and the sensitivity of the microphone was great. My kids spent the afternoon taking turns asking Alexa to play ""Who Let the Dogs Out."" Fun times.","got the echo home and immediately set it up and started to use it. linked my smart devices and spent a few minutes testing the lights, thermostat, etc. all worked extremely smooth and the sensitivity of the microphone was great. my kids spent the afternoon taking turns asking alexa to play who let the dogs out. fun times.",5.0,2021-03-18,pre-inflation,0.91,,,,,
It was brought for my 67 yr old dad.....and he loves it.....,it was brought for my 67 yr old dad.....and he loves it.....,5.0,2021-02-26,pre-inflation,0.5719,,,,,
"Great reader, perfect size and weight, fantastic battery life.","great reader, perfect size and weight, fantastic battery life.",5.0,2021-02-09,pre-inflation,0.9081,,,0.9081,,
"This purchase by far has been one of the best made by me this year. Set up was easy, and the content was plentiful. Well worth the price.","this purchase by far has been one of the best made by me this year. set up was easy, and the content was plentiful. well worth the price.",5.0,2020-12-09,pre-inflation,0.8779,0.4588,,,,
This was a Christmas Present for my niece. It was perfect. Immediately became her favorite and gave her parents devices a break. Would definitely recommend.,this was a christmas present for my niece. it was perfect. immediately became her favorite and gave her parents devices a break. would definitely recommend.,4.0,2020-01-20,pre-inflation,0.8979,,,,,
"This is a great tablet if you have reasonable expectations. And you should definitely pay the extra $20 (for a total of $69) and get the 16 GB tablet. Is it the fastest tablet out there? Definitely not. Does it quickly do all sorts of business spreadsheets applications, etc? No. Does it do everything that an i-pad etc can do? No. But at this price point it can't be beat. People say that you can't download chrome and the google playstore. They are WRONG. I have both on this tablet and my other fire, without rooting them. And with the ability to add a 128 GB card it's a no brainer if you want to play games, watch movies/tv, surf the net, email etc. I know there are a lot of people who dislike Amazon and their products, but I am obviously not one of them.","this is a great tablet if you have reasonable expectations. and you should definitely pay the extra 20 for a total of 69 and get the 16 gb tablet. is it the fastest tablet out there? definitely not. does it quickly do all sorts of business spreadsheets applications, etc? no. does it do everything that an ipad etc can do? no. but at this price point it cant be beat. people say that you cant download chrome and the google playstore. they are wrong. i have both on this tablet and my other fire, without rooting them. and with the ability to add a 128 gb card its a no brainer if you want to play games, watch moviestv, surf the net, email etc. i know there are a lot of people who dislike amazon and their products, but i am obviously not one of them.",5.0,2021-02-11,pre-inflation,-0.3378,0.0,,,,
This item is a thing of the future. You can littetly operate you wireless components using this debice.,this item is a thing of the future. you can littetly operate you wireless components using this debice.,5.0,2021-06-09,pre-inflation,0.0,,,,,
Sleak littoe device for the price for normal everyday use.,sleak littoe device for the price for normal everyday use.,5.0,2020-10-25,pre-inflation,0.0,0.0,,,,
Definitely better than my prior kindle. I do not need reading light anymore,definitely better than my prior kindle. i do not need reading light anymore,4.0,2020-05-14,pre-inflation,0.6808,,,,,
"This Fire tablet is great -- does all I want it to Only down side, the battery only lasts a few hours and has to be recharged often. I like to read -- sometimes, while reading, have to stop and recharge. Otherwise, I love it!!","this fire tablet is great does all i want it to only down side, the battery only lasts a few hours and has to be recharged often. i like to read sometimes, while reading, have to stop and recharge. otherwise, i love it!!",4.0,2020-05-10,pre-inflation,0.8436,,,0.4588,,
"Great for the kids, and has a good battery for how much they use it","great for the kids, and has a good battery for how much they use it",5.0,2020-08-01,pre-inflation,0.7906,,,0.7906,,
I bought this for my kids as a gift. They love this device and use it daily. I couldn't be happier with the purchase,i bought this for my kids as a gift. they love this device and use it daily. i couldnt be happier with the purchase,5.0,2020-02-22,pre-inflation,0.6513,,,,,
"Good tablet for the price. Was looking for a substitute for the Amazon Fire HD 7 that my son lost, and this is a pretty good replacement. Not that much of a difference.","good tablet for the price. was looking for a substitute for the amazon fire hd 7 that my son lost, and this is a pretty good replacement. not that much of a difference.",3.0,2022-02-08,pre-inflation,0.7184,0.4404,,,,0.4767
Cannot beat any amazon product. Especially the firetv box. Way faster,cannot beat any amazon product. especially the firetv box. way faster,5.0,2020-04-05,pre-inflation,-0.1326,,,,,
It is my third kindle. The reading experience with kindle is always good.,it is my third kindle. the reading experience with kindle is always good.,5.0,2020-01-01,pre-inflation,0.4404,,,,,
"My wife and I have been trying to decide between the Paperwhite and the new Nook for a while. After checking each out, the Paperwhite was definitely a clear winner. Amazon support + unique features = a newfound interest in reading!","my wife and i have been trying to decide between the paperwhite and the new nook for a while. after checking each out, the paperwhite was definitely a clear winner. amazon support unique features a newfound interest in reading!",5.0,2020-06-22,pre-inflation,0.9412,,,0.7712,,0.7712
bought it as a gift for my mother and she loves it,bought it as a gift for my mother and she loves it,5.0,2020-11-14,pre-inflation,0.765,,,,,
I love the Amazon Fire. I am able to play all my movies and shows on my fire. It's great!,i love the amazon fire. i am able to play all my movies and shows on my fire. its great!,5.0,2020-11-22,pre-inflation,0.8356,,,,,
Set up really easy. We cancelled cable right away. Still figuring out which apps are for us. Got antenna for local channels.,set up really easy. we cancelled cable right away. still figuring out which apps are for us. got antenna for local channels.,5.0,2020-11-03,pre-inflation,0.2333,,,,,
"I previously had a standard Kindle...the battery would no longer hold the charge. I wanted to replace it but be able to read in dim light. This feature is great. I chose the paperwhite because the screen did not glare like the Fire. It took some getting used to since it is all touch screen, but it has a few better features than the original. One complaint is that it sometime jumps further ahead than one page, so you need to pay attention when moving to the next page. I recommend it for someone who wants to use it for reading only.","i previously had a standard kindle...the battery would no longer hold the charge. i wanted to replace it but be able to read in dim light. this feature is great. i chose the paperwhite because the screen did not glare like the fire. it took some getting used to since it is all touch screen, but it has a few better features than the original. one complaint is that it sometime jumps further ahead than one page, so you need to pay attention when moving to the next page. i recommend it for someone who wants to use it for reading only.",4.0,2021-03-10,pre-inflation,0.7867,,,-0.020533333333333365,,
lightweight and easy to read indoor or outdoors no light to full light.,lightweight and easy to read indoor or outdoors no light to full light.,5.0,2020-02-05,pre-inflation,0.1779,,,,,
I like Alexa a lot the speaker is amazing I use it for my home stereo. We also use it a lot in the kitchen for recipes!!!!,i like alexa a lot the speaker is amazing i use it for my home stereo. we also use it a lot in the kitchen for recipes!!!!,5.0,2020-06-15,pre-inflation,0.816,,,,,
I bought this tablet originally for my kids but I loved it so much I had to purchase one for myself. Love it!!,i bought this tablet originally for my kids but i loved it so much i had to purchase one for myself. love it!!,5.0,2021-03-15,pre-inflation,0.9292,,,,,
My son picked this device for reading books and accessing kids apps mostly due to the excellent price and user friendliness. I like the parental controls and how it lets me set a daily time limit. Great value!,my son picked this device for reading books and accessing kids apps mostly due to the excellent price and user friendliness. i like the parental controls and how it lets me set a daily time limit. great value!,4.0,2020-07-30,pre-inflation,0.9432,0.7746999999999999,,,,
I enjoy my alexa. So much I bought one for my friend.,i enjoy my alexa. so much i bought one for my friend.,5.0,2021-06-10,pre-inflation,0.7506,,,,,
Though it's entry level tablet it's not cheap technology. Amazon ecosystem is very competitive with Google and they're ahead with more rapid product line. Fire tablet is the proof of that. You can also get advantage of Alexa.,though its entry level tablet its not cheap technology. amazon ecosystem is very competitive with google and theyre ahead with more rapid product line. fire tablet is the proof of that. you can also get advantage of alexa.,5.0,2020-05-09,pre-inflation,0.0194,0.0,,,,
"This is a great product, but I think I could've gotten the Fire Stick. Maybe someday I'll use it for what it's worth. But none the less, a great product.","this is a great product, but i think i couldve gotten the fire stick. maybe someday ill use it for what its worth. but none the less, a great product.",5.0,2021-02-11,pre-inflation,0.5159,-0.2263,,,,
"Gave this as a gift to my sisters family. They love it. My brother in law isn't a computer user so he loves just being able to ask questions instead of having to ""google"" things.",gave this as a gift to my sisters family. they love it. my brother in law isnt a computer user so he loves just being able to ask questions instead of having to google things.,5.0,2020-09-10,pre-inflation,0.9017,,,,,
Purchase this tablet during the Christmas holidays on sale. Got as a gift for my job's Christmas gift party. The person who got it was very happy with it. I am familiar with the tablet because I bought one for my wife when they first came out for her to use to read her books.,purchase this tablet during the christmas holidays on sale. got as a gift for my jobs christmas gift party. the person who got it was very happy with it. i am familiar with the tablet because i bought one for my wife when they first came out for her to use to read her books.,5.0,2020-01-11,pre-inflation,0.9336,,,,,
The speaker sounds very decent for the size and cost but my favorite thing about the speaker is it is wireless and portable. I can charge the speaker and practically take it anywhere without having to plug it in.,the speaker sounds very decent for the size and cost but my favorite thing about the speaker is it is wireless and portable. i can charge the speaker and practically take it anywhere without having to plug it in.,5.0,2020-09-14,pre-inflation,0.6124,0.6124,,,,
"The Kindle Paperwhite is a great device for reading in all lighting conditions. The battery life is amazing, lasts for weeks without charge. It also syncs easily to your Amazon account. Some cons about the device is that it is a bit on the slow side when your shopping around for books on the device and I wish it came with a headphone jack for whispersync.","the kindle paperwhite is a great device for reading in all lighting conditions. the battery life is amazing, lasts for weeks without charge. it also syncs easily to your amazon account. some cons about the device is that it is a bit on the slow side when your shopping around for books on the device and i wish it came with a headphone jack for whispersync.",4.0,2020-09-21,pre-inflation,0.9287,,,0.5859,,
I bought this product as a gift for my daughter and she absolutely LOVES it! She uses it to listen to her Spotify playlists while getting ready for school and doing homework. She even uses it to determine the weather for the day.,i bought this product as a gift for my daughter and she absolutely loves it! she uses it to listen to her spotify playlists while getting ready for school and doing homework. she even uses it to determine the weather for the day.,5.0,2020-01-09,pre-inflation,0.8653,,,,,
The price on this tablet is unbeatable. The performance is above what we expected. If you are looking for something to use at home then this is it.,the price on this tablet is unbeatable. the performance is above what we expected. if you are looking for something to use at home then this is it.,5.0,2021-02-20,pre-inflation,0.0,0.0,,0.0,,
It was a great experience. I will be back in the future!!,it was a great experience. i will be back in the future!!,5.0,2021-04-05,pre-inflation,0.6892,,,,,
Love my Alexa . Very responsive and technologically advanced product.,love my alexa . very responsive and technologically advanced product.,5.0,2021-02-28,pre-inflation,0.8399,,,,,0.5849
"It is easy to set up and use. It was surprising how well it could answer some random questions. I did make the mistake of telling my grandchildren, ages 3-8, how to use it. When they visit we hear Alexa answer ""how much does the earth weight"" dozens of times and have to listen to ""Kidsbop"" music. (That's right, we have no control over them.)","it is easy to set up and use. it was surprising how well it could answer some random questions. i did make the mistake of telling my grandchildren, ages 38, how to use it. when they visit we hear alexa answer how much does the earth weight dozens of times and have to listen to kidsbop music. thats right, we have no control over them.",4.0,2021-01-19,pre-inflation,0.3612,,,,,
This was a gift for my girlfriend. She loved due to the fact that it was small and compacted ..,this was a gift for my girlfriend. she loved due to the fact that it was small and compacted ..,4.0,2021-01-18,pre-inflation,0.7783,,,,,
I purchased strictly for PS VUE and can confirm it works great including 60FPS and lag-free (almost as good as PS4) guide navigation. It is drastically improved in speed over the 2nd gen fire stick ($40) which had too much navigation lag and capped at 30FPS. The Fire TV is much faster and worth the extra money as it also includes 4K and a gigabit ethernet port. It does lack VUDU and Google Play so not all apps are available and will not likely be available due to Amazon Prime proprietary service. Overall it functions great and is very FAST!,i purchased strictly for ps vue and can confirm it works great including 60fps and lagfree almost as good as ps4 guide navigation. it is drastically improved in speed over the 2nd gen fire stick 40 which had too much navigation lag and capped at 30fps. the fire tv is much faster and worth the extra money as it also includes 4k and a gigabit ethernet port. it does lack vudu and google play so not all apps are available and will not likely be available due to amazon prime proprietary service. overall it functions great and is very fast!,4.0,2020-10-01,pre-inflation,0.8937,-0.128,,0.716,,0.2023
Fast shipping and great product Would recommend to friends,fast shipping and great product would recommend to friends,5.0,2020-08-17,pre-inflation,0.8658,,,,0.8658,
Exactly as discribed. Love the product! I would recommend it!,exactly as discribed. love the product! i would recommend it!,5.0,2021-02-13,pre-inflation,0.8065,,,,,
Love it I download all of my audiobooks on my tablet,love it i download all of my audiobooks on my tablet,4.0,2020-03-08,pre-inflation,0.6369,,,,,
"I LOVE THE AMAZON TV, THEY SHOULD CALL IT THE AMAZING TV BOX!!!","i love the amazon tv, they should call it the amazing tv box!!!",5.0,2020-04-25,pre-inflation,0.8904,,,,,
Wish it had its own onternet connection but other than that great purchase,wish it had its own onternet connection but other than that great purchase,5.0,2021-01-05,pre-inflation,0.8176,,,,,
"Purchased as a Christmas Gift for my sister during Black Friday. Great tablet for reading books , surfing web, etc etc for your daily needs.","purchased as a christmas gift for my sister during black friday. great tablet for reading books , surfing web, etc etc for your daily needs.",5.0,2020-03-24,pre-inflation,0.7906,,,,,
Bought this as a gift for my mom and she loves it. The only downfall is there is no google play.,bought this as a gift for my mom and she loves it. the only downfall is there is no google play.,5.0,2020-07-21,pre-inflation,0.521,,,,,
The better resolution and slightly smaller size makes a worthwhile investment if you read for hours. The commercials that tell you how much better it is to read on a Kindle Voyage vs a tablet are true. I read for hours at a time on weekly plane trips. If I use a tablet my eyes hurt after just a couple of hours. On a Kindle because of the side lighting I can read for 5 hours and my eyes never hurt .,the better resolution and slightly smaller size makes a worthwhile investment if you read for hours. the commercials that tell you how much better it is to read on a kindle voyage vs a tablet are true. i read for hours at a time on weekly plane trips. if i use a tablet my eyes hurt after just a couple of hours. on a kindle because of the side lighting i can read for 5 hours and my eyes never hurt .,5.0,2020-03-25,pre-inflation,0.8547,0.6486,,,,
My family has enjoyed the amazon echo..it gives us the opportunity to listen to different types of music . My family loves sports and they like asking Alexa questions about sports .,my family has enjoyed the amazon echo..it gives us the opportunity to listen to different types of music . my family loves sports and they like asking alexa questions about sports .,5.0,2020-11-30,pre-inflation,0.9186,,,,,
These are wonderful items. Easy to use and work. Fast service and saves on my cable bill.,these are wonderful items. easy to use and work. fast service and saves on my cable bill.,5.0,2021-06-15,pre-inflation,0.765,,,,,0.0
Bought for my 6 yr old autistic grandson. So far so good with parental guidance.,bought for my 6 yr old autistic grandson. so far so good with parental guidance.,4.0,2020-12-01,pre-inflation,0.6213,,,,,
"I have two echo dots and two other echoes and I love them! It's convenient, looks great and sounds great. Got my last two echoes for a great price!","i have two echo dots and two other echoes and i love them! its convenient, looks great and sounds great. got my last two echoes for a great price!",5.0,2020-02-20,pre-inflation,0.9589,0.6588,,,,
"Works great with Amazon Prime Music. Very impressive speech recognition. (On the other hand, Amazon Prime Video Streaming is not Included in Apple TV or Roku apps.)","works great with amazon prime music. very impressive speech recognition. on the other hand, amazon prime video streaming is not included in apple tv or roku apps.",5.0,2020-01-12,pre-inflation,0.923,,,0.7003,,
Not the best sound for music but it'll do. I don't like that it has to be plugged in to use. Wish you could charge and go.,not the best sound for music but itll do. i dont like that it has to be plugged in to use. wish you could charge and go.,4.0,2020-05-31,pre-inflation,-0.077,,,,,
This item is great for me and my family. We recently have started looking for innovative ways to watch television and found this product beneficial!,this item is great for me and my family. we recently have started looking for innovative ways to watch television and found this product beneficial!,5.0,2021-02-12,pre-inflation,0.8805,,,,,
I bought this as a gift for my sister in law on thanks giving and this is the best gift...They just love it to the best,i bought this as a gift for my sister in law on thanks giving and this is the best gift...they just love it to the best,5.0,2021-05-10,pre-inflation,0.9674,,,,,
"For the price this is a great value, I considered a laptop, or larger tablets but am quite satisfied with this purchase","for the price this is a great value, i considered a laptop, or larger tablets but am quite satisfied with this purchase",4.0,2020-04-15,pre-inflation,0.8121,0.8121,,,,
Bought this for my dad. I like this Amazon product very much.,bought this for my dad. i like this amazon product very much.,5.0,2021-04-30,pre-inflation,0.5228,,,,,
"I can't say enough about this so I will just say I love it! Very loud! Louder than my Bose Soundlink Mini speaker and better sound quality. However, because it is so loud it doesn't catch what you're trying to say if the volume is too loud. Also, I'm Mexican so I have a hard time getting it to understand what music to play when it comes to music with Spanish titles. Other than those two things though, I have no complaints. It is very easy to use and was very easy to set up.","i cant say enough about this so i will just say i love it! very loud! louder than my bose soundlink mini speaker and better sound quality. however, because it is so loud it doesnt catch what youre trying to say if the volume is too loud. also, im mexican so i have a hard time getting it to understand what music to play when it comes to music with spanish titles. other than those two things though, i have no complaints. it is very easy to use and was very easy to set up.",5.0,2021-01-04,pre-inflation,0.954,,0.4404,,,
"After purchasing for myself and mother in the past, I felt it was reliable and friendly enough for my 11 year old. Easy to set up and has parental controls. She loves to use it for reading and games. It's fabulous and the price was excellent and my main deciding factor. You just can't beat $49.99. Thanks Best Buy.","after purchasing for myself and mother in the past, i felt it was reliable and friendly enough for my 11 year old. easy to set up and has parental controls. she loves to use it for reading and games. its fabulous and the price was excellent and my main deciding factor. you just cant beat 49.99. thanks best buy.",5.0,2021-02-20,pre-inflation,0.9623,0.7964,0.4939,,,
"Got it for daughter Christmas they love it, I haven't figured out how to run it yet.","got it for daughter christmas they love it, i havent figured out how to run it yet.",4.0,2020-03-24,pre-inflation,0.6369,,,,,
Great product for a reasonable price. A lot of fun!,great product for a reasonable price. a lot of fun!,5.0,2020-06-03,pre-inflation,0.8268,0.6249,,,,
I love it. It is so easy to use and great apps to.,i love it. it is so easy to use and great apps to.,5.0,2020-12-23,pre-inflation,0.9192,,,,,
I got rid of cable for this and trust and believe it is worth it.,i got rid of cable for this and trust and believe it is worth it.,4.0,2020-01-20,pre-inflation,0.6369,0.6369,,,,
Provides all the advantages of a kindle reader plus many of the aspects of a smart phone - less of course the telephone,provides all the advantages of a kindle reader plus many of the aspects of a smart phone less of course the telephone,4.0,2021-03-29,pre-inflation,0.6369,,,,,
My 12 year old son bought this. Great for him. Only downfall is his old one broke after only one small drop. Would recommend protection plan.,my 12 year old son bought this. great for him. only downfall is his old one broke after only one small drop. would recommend protection plan.,4.0,2020-09-24,pre-inflation,0.5385,,,,,
"I bought this product for traveling for its light weight and paper like reading. It was fine with e-books, but I had some PDF file I wanted to read on it. I could load the PDFs, but hard to read. No font enlargable for PDFs. Plus, the screen is not very responsive as screens in tablets. I ended up return it.","i bought this product for traveling for its light weight and paper like reading. it was fine with ebooks, but i had some pdf file i wanted to read on it. i could load the pdfs, but hard to read. no font enlargable for pdfs. plus, the screen is not very responsive as screens in tablets. i ended up return it.",3.0,2020-04-13,pre-inflation,-0.6417,,,-0.3241,,-0.16205
great- easy to set up- great gift item- small and fits in purse!,great easy to set up great gift item small and fits in purse!,5.0,2021-02-06,pre-inflation,0.9359,,,,,
i would recomend this product to anybody kids and adults,i would recomend this product to anybody kids and adults,5.0,2020-06-26,pre-inflation,0.0,,,,,
Great products as usual and great customer service,great products as usual and great customer service,5.0,2020-12-20,pre-inflation,0.8481,,,,,0.8481
The echo is great. It can run smart home products and play music.,the echo is great. it can run smart home products and play music.,5.0,2021-02-06,pre-inflation,0.8481,,,,,
"Bought for family member, was on their Christmas list.","bought for family member, was on their christmas list.",5.0,2020-02-23,pre-inflation,0.0,,,,,
Item was easy to set up. Work as advertised Very Cool,item was easy to set up. work as advertised very cool,4.0,2020-03-08,pre-inflation,0.6697,,,,,
"Bought this as a gift--recipient was happy to receive it. After browsing prices online, I chose to purchase with Best Buy instead of Amazon because it was a better deal. The free two-day shipping was a nice bonus as well. A good experience all around; would definitely recommend.","bought this as a giftrecipient was happy to receive it. after browsing prices online, i chose to purchase with best buy instead of amazon because it was a better deal. the free twoday shipping was a nice bonus as well. a good experience all around would definitely recommend.",5.0,2020-05-28,pre-inflation,0.9839,0.8316,,,0.8934,
"Easy to use, love that I can download a free book each month since I am an Amazon prime member. Very light. Perfect way to read at the beach.","easy to use, love that i can download a free book each month since i am an amazon prime member. very light. perfect way to read at the beach.",5.0,2020-11-27,pre-inflation,0.944,,,,,
I am very happy with my fire tv. It's makes me want to buy another to go in my son's room.,i am very happy with my fire tv. its makes me want to buy another to go in my sons room.,5.0,2021-06-01,pre-inflation,0.4391,,,,,
"The controller and box are compact. The use of device is straight forward, but still requires a few days to become intuitive. There is a problem removing the battery cover, that allows replacement of batteries. It was immovable, and I finally had to use a pocket knife to pry it open, scaring the bottom of the controller. Amazon should have spotted the problem before going into production, accounting for the 4 star rating.","the controller and box are compact. the use of device is straight forward, but still requires a few days to become intuitive. there is a problem removing the battery cover, that allows replacement of batteries. it was immovable, and i finally had to use a pocket knife to pry it open, scaring the bottom of the controller. amazon should have spotted the problem before going into production, accounting for the 4 star rating.",4.0,2020-03-31,pre-inflation,-0.8573,,,-0.4019,,-0.4019
Easy to use and easy to load apps. Wish it had a GPS,easy to use and easy to load apps. wish it had a gps,4.0,2021-02-05,pre-inflation,0.8176,,,,,
"This is a great smart device for listening to music, news or just finding fun facts. There's so much that Alexa does to make life easier. It takes some time to get all of your presences set up but it's worth the effort. We are so impressed with what Alexa can do that we decided to get some of the security tools to pair with it.","this is a great smart device for listening to music, news or just finding fun facts. theres so much that alexa does to make life easier. it takes some time to get all of your presences set up but its worth the effort. we are so impressed with what alexa can do that we decided to get some of the security tools to pair with it.",5.0,2020-03-03,pre-inflation,0.9476,0.3291,,,,
I bought this for my son to use and he loves it!!!,i bought this for my son to use and he loves it!!!,5.0,2021-05-28,pre-inflation,0.6784,,,,,
"I didn't think to much of it at first glad at the store, I decided to purchase it. IT WAS THE BEST DECISION EVER MADE","i didnt think to much of it at first glad at the store, i decided to purchase it. it was the best decision ever made",5.0,2021-02-03,pre-inflation,0.802,,,,,
Really easy to use. Convient to have around for everyday things,really easy to use. convient to have around for everyday things,5.0,2020-08-28,pre-inflation,0.4927,,,,,
Excellent product great for information and music would highly recommend this to anyone I know 5 stars all day!!!,excellent product great for information and music would highly recommend this to anyone i know 5 stars all day!!!,5.0,2020-11-27,pre-inflation,0.9094,,,,,
I have had a couple of firesticks and they just don't work as good as the fire tv's. I now have 2 fire tv's. One is hard wired and one runs on wifi. I don't have any issues with them at all.,i have had a couple of firesticks and they just dont work as good as the fire tvs. i now have 2 fire tvs. one is hard wired and one runs on wifi. i dont have any issues with them at all.,5.0,2020-09-12,pre-inflation,-0.7654,,,,,
Great tablet for a toddler to start on! The parental controls can be fiddled with a little bit but good anyways!,great tablet for a toddler to start on! the parental controls can be fiddled with a little bit but good anyways!,5.0,2020-11-05,pre-inflation,0.7642,,,,,
love the first now a new one. everything at your fingertips.,love the first now a new one. everything at your fingertips.,5.0,2020-12-13,pre-inflation,0.6369,,,,,
This item was purchased for a gift I red feedbackThe person enjoyed the gift,this item was purchased for a gift i red feedbackthe person enjoyed the gift,5.0,2020-05-05,pre-inflation,0.8442,,,,,
Easy to read on and awesome battery life. Great price.,easy to read on and awesome battery life. great price.,5.0,2020-05-24,pre-inflation,0.9022,0.6249,,0.7906,,
I absolutely love my Amazon Echo. I use it everyday for all kinds of information.,i absolutely love my amazon echo. i use it everyday for all kinds of information.,5.0,2020-05-23,pre-inflation,0.7548,,,,,
I like what I've done so far. I am pleased with it.easy to use and read.,i like what ive done so far. i am pleased with it.easy to use and read.,4.0,2020-03-27,pre-inflation,0.6597,,,,,
"Bought this for my daughter, she loves it. Inexpensive, works great and she has a lot of fun with it","bought this for my daughter, she loves it. inexpensive, works great and she has a lot of fun with it",5.0,2020-08-04,pre-inflation,0.9022,0.8126,,0.8126,,
"Great, light, simple to use, worth the money, battery lasts for long time","great, light, simple to use, worth the money, battery lasts for long time",5.0,2021-06-04,pre-inflation,0.7184,0.7184,,0.7184,,
Love love it .works for me it's my best friend in my head.,love love it .works for me its my best friend in my head.,5.0,2020-10-22,pre-inflation,0.9501,,,0.9501,,
"This was my second purchase of this style and brand of tablet.My first one unfortunately met with a accident,and needed replaced.This tablet has front and rear facing cameras,addable storage,and extreme ease of accessability.Love it.","this was my second purchase of this style and brand of tablet.my first one unfortunately met with a accident,and needed replaced.this tablet has front and rear facing cameras,addable storage,and extreme ease of accessability.love it.",5.0,2020-04-21,pre-inflation,0.101,,,0.101,,
Great device really like the option to use either wifi or lan,great device really like the option to use either wifi or lan,5.0,2021-05-13,pre-inflation,0.7841,,,,,
"This Amazon Echo might be similar to that of Siri and Google, however, it makes it fun to be able to ask it questions no matter where you are at in the room. It gives precise weather updates, interesting traffic details, and even knowledgeable history lessons each morning. With endless possibilities, this Amazon Echo is a step towards more interesting things to come.","this amazon echo might be similar to that of siri and google, however, it makes it fun to be able to ask it questions no matter where you are at in the room. it gives precise weather updates, interesting traffic details, and even knowledgeable history lessons each morning. with endless possibilities, this amazon echo is a step towards more interesting things to come.",5.0,2020-09-05,pre-inflation,0.8884,,,,,
Good for the price hard to beat it!!!!!!!!!!!!!!!!!,good for the price hard to beat it!!!!!!!!!!!!!!!!!,5.0,2020-11-06,pre-inflation,0.5673,0.5673,,,,
"If you are solely looking for the best reading experience, and not looking for tablet functionality, the Kindle Paperwhite will serve your purposes very well. Besides providing a great reading experience with its dictionary, Wikipedia acess and Xray function, the in book search function works perfectly. The Glow light also works great and has a very large range of brightnesses.The text is very crisp, and the battery life s excellent. An excellent buy.","if you are solely looking for the best reading experience, and not looking for tablet functionality, the kindle paperwhite will serve your purposes very well. besides providing a great reading experience with its dictionary, wikipedia acess and xray function, the in book search function works perfectly. the glow light also works great and has a very large range of brightnesses.the text is very crisp, and the battery life s excellent. an excellent buy.",5.0,2020-03-09,pre-inflation,0.9806,,,0.816,,
